"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-06-02","15","11","2026-06-16T19:51:37Z"
"2026-06-03","17","11","2026-06-16T19:51:37Z"
"2026-06-04","18","13","2026-06-16T19:51:37Z"
"2026-06-05","19","11","2026-06-16T19:51:37Z"
"2026-06-06","22","11","2026-06-16T19:51:37Z"
"2026-06-07","47","15","2026-06-16T19:51:37Z"
"2026-06-08","19","14","2026-06-16T19:51:37Z"
"2026-06-09","24","13","2026-06-16T19:51:37Z"
"2026-06-10","31","16","2026-06-16T19:51:37Z"
"2026-06-11","32","16","2026-06-16T19:51:37Z"
"2026-06-12","24","12","2026-06-16T19:51:37Z"
"2026-06-13","40","15","2026-06-16T19:51:37Z"
"2026-06-14","49","17","2026-06-16T19:51:37Z"
"2026-06-15","49","20","2026-06-16T19:51:37Z"
