"snapshot_date_utc","snapshot_at_utc","tag_name","published_at","asset_name","download_count","browser_download_url"
"2026-05-06","2026-05-06T17:54:34Z","v1.6.2026.11705","2026-04-26T15:04:28Z","OneFindInstaller_1.6.exe","83","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.6.2026.11705/OneFindInstaller_1.6.exe"
"2026-05-06","2026-05-06T17:54:34Z","v1.5.2026.10704","2026-04-16T08:24:20Z","OneFindInstaller_1.5.exe","107","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10704/OneFindInstaller_1.5.exe"
"2026-05-06","2026-05-06T17:54:34Z","v1.5.2026.10609","2026-04-16T08:11:49Z","OneFindInstaller_1.5.exe","2","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10609/OneFindInstaller_1.5.exe"
"2026-05-06","2026-05-06T17:54:34Z","v1.4.2026.10104","2026-04-11T14:47:23Z","KnowledgeBaseGatewayInstaller.exe","79","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.4.2026.10104/KnowledgeBaseGatewayInstaller.exe"
"2026-05-06","2026-05-06T17:54:34Z","v1.2.2026.10009","2026-04-10T12:55:08Z","KnowledgeBaseGatewayInstaller.exe","28","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.2.2026.10009/KnowledgeBaseGatewayInstaller.exe"
"2026-05-06","2026-05-06T17:54:34Z","v1.1.2026.9903","2026-04-09T13:52:18Z","KnowledgeBaseGatewayInstaller.exe","20","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.1.2026.9903/KnowledgeBaseGatewayInstaller.exe"
"2026-05-07","2026-05-07T17:59:19Z","v1.6.2026.11705","2026-04-26T15:04:28Z","OneFindInstaller_1.6.exe","96","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.6.2026.11705/OneFindInstaller_1.6.exe"
"2026-05-07","2026-05-07T17:59:19Z","v1.5.2026.10704","2026-04-16T08:24:20Z","OneFindInstaller_1.5.exe","107","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10704/OneFindInstaller_1.5.exe"
"2026-05-07","2026-05-07T17:59:19Z","v1.5.2026.10609","2026-04-16T08:11:49Z","OneFindInstaller_1.5.exe","2","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10609/OneFindInstaller_1.5.exe"
"2026-05-07","2026-05-07T17:59:19Z","v1.4.2026.10104","2026-04-11T14:47:23Z","KnowledgeBaseGatewayInstaller.exe","79","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.4.2026.10104/KnowledgeBaseGatewayInstaller.exe"
"2026-05-07","2026-05-07T17:59:19Z","v1.2.2026.10009","2026-04-10T12:55:08Z","KnowledgeBaseGatewayInstaller.exe","28","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.2.2026.10009/KnowledgeBaseGatewayInstaller.exe"
"2026-05-07","2026-05-07T17:59:19Z","v1.1.2026.9903","2026-04-09T13:52:18Z","KnowledgeBaseGatewayInstaller.exe","20","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.1.2026.9903/KnowledgeBaseGatewayInstaller.exe"
"2026-05-08","2026-05-08T17:46:16Z","v1.6.2026.11705","2026-04-26T15:04:28Z","OneFindInstaller_1.6.exe","102","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.6.2026.11705/OneFindInstaller_1.6.exe"
"2026-05-08","2026-05-08T17:46:16Z","v1.5.2026.10704","2026-04-16T08:24:20Z","OneFindInstaller_1.5.exe","107","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10704/OneFindInstaller_1.5.exe"
"2026-05-08","2026-05-08T17:46:16Z","v1.5.2026.10609","2026-04-16T08:11:49Z","OneFindInstaller_1.5.exe","2","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10609/OneFindInstaller_1.5.exe"
"2026-05-08","2026-05-08T17:46:16Z","v1.4.2026.10104","2026-04-11T14:47:23Z","KnowledgeBaseGatewayInstaller.exe","79","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.4.2026.10104/KnowledgeBaseGatewayInstaller.exe"
"2026-05-08","2026-05-08T17:46:16Z","v1.2.2026.10009","2026-04-10T12:55:08Z","KnowledgeBaseGatewayInstaller.exe","28","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.2.2026.10009/KnowledgeBaseGatewayInstaller.exe"
"2026-05-08","2026-05-08T17:46:16Z","v1.1.2026.9903","2026-04-09T13:52:18Z","KnowledgeBaseGatewayInstaller.exe","20","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.1.2026.9903/KnowledgeBaseGatewayInstaller.exe"
"2026-05-09","2026-05-09T17:15:22Z","v1.6.2026.11705","2026-04-26T15:04:28Z","OneFindInstaller_1.6.exe","130","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.6.2026.11705/OneFindInstaller_1.6.exe"
"2026-05-09","2026-05-09T17:15:22Z","v1.5.2026.10704","2026-04-16T08:24:20Z","OneFindInstaller_1.5.exe","107","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10704/OneFindInstaller_1.5.exe"
"2026-05-09","2026-05-09T17:15:22Z","v1.5.2026.10609","2026-04-16T08:11:49Z","OneFindInstaller_1.5.exe","2","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.5.2026.10609/OneFindInstaller_1.5.exe"
"2026-05-09","2026-05-09T17:15:22Z","v1.4.2026.10104","2026-04-11T14:47:23Z","KnowledgeBaseGatewayInstaller.exe","79","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.4.2026.10104/KnowledgeBaseGatewayInstaller.exe"
"2026-05-09","2026-05-09T17:15:22Z","v1.2.2026.10009","2026-04-10T12:55:08Z","KnowledgeBaseGatewayInstaller.exe","28","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.2.2026.10009/KnowledgeBaseGatewayInstaller.exe"
"2026-05-09","2026-05-09T17:15:22Z","v1.1.2026.9903","2026-04-09T13:52:18Z","KnowledgeBaseGatewayInstaller.exe","20","https://github.com/iawnfoanaowt/OneFind/releases/download/v1.1.2026.9903/KnowledgeBaseGatewayInstaller.exe"
